[Minimal or No Action] Prompt: put the cable in the basket | Actual: False | User: False | Correct: True
[Minimal or No Action] Prompt: put the tape on the blue towel | Actual: False | User: False | Correct: True
[Minimal or No Action] Prompt: pick up the green bowl | Actual: False | User: False | Correct: True
[Minimal or No Action] Prompt: do absolutely nothing. do not move | Actual: True | User: True | Correct: True
[Minimal or No Action] Prompt: point your end gripper straight horizontally and freeze after. | Actual: True | User: True | Correct: True
[Minimal or No Action] Prompt: do not move | Actual: True | User: True | Correct: True
Category 'Minimal or No Action' accuracy: 6/6

[Pick and Place] Prompt: pick up white cup and put in dustbin | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: flip the blue switch | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: put the stuffed animal in the white box | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Uncross the knife and fork. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: stack black bowl on white bowl | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: put the black pen in the blue cup | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: put tape into the drawer | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Place the croissant in the pot and then put the lid on the pot | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: knock the cup off the table | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: put the strawberry in the pink bowl | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: close the black and pink glasses case | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: pick up the roll of tape and place on bucket | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Put the bolt in the drawer. | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: pick the carrot and place it on the yellow dish | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: close the laptop screen | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Pick up the marker and draw on the paper towel sheet | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: fold the towel | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Cover the drill with the green rag. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Pick up the marker and draw something on the paper | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Wash the plate with the sponge. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Pull the trigger on the drill. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Take the lid off the jar and pour it onto the bread. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: put the cable in the basket | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: pick up the screwdriver | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: close the drawer | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: pick up the black board wiper and wipe the text off of the whiteboard | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: pick the carrot and place it in the metal bowl | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Put the carrot in the bottom drawer. | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: place the purple cup on the right side | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: pick up red cube in green bowl and put in outside the bowl | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Put all the food items into the bowl. | Actual: True | User: False | Correct: False
[Pick and Place] Prompt: knock the clear cup off the table comppleknock off the cup completely off the table. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: upright the water bottle | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Place the cloth on the chair | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: find the fruit | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: pick up green marker | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Put the yellow plate on the table | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Put the bowl in the dishwasher | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Place the green rag on the rack. | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: pick the purple cup and place it in the sink | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: find the pineapple in the scene | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Close the drawer. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: pick up the red object into the bowl | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Fold the rag. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Pour the mug contents into the bowl | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: place the bottle of mustard into the wooden tray | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Roll over the block. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: A robot is encapsulated between two mugs. Take the robot and place it in the the bowl. | Actual: True | User: True | Correct: True
[Pick and Place] Prompt: Drape the cloth over the box then put the red bowl in the silver bowl. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Pour the water from the mug into the silver bowl | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Balance the hammer on the block. | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Close the top drawer | Actual: False | User: False | Correct: True
[Pick and Place] Prompt: Put the onion to the big pot. | Actual: True | User: True | Correct: True
